iteration,elo,elo_change,win_rate
2,1595.115083645444,95.11508364544396,0.5
3,1726.094698304727,226.094698304727,1.0
4,1595.115083645444,95.11508364544396,0.5
5,1491.7916344545242,-8.208365545475772,0.5
6,1500.0,0.0,0.0
7,1587.136459164371,87.13645916437099,0.5
8,1595.115083645444,95.11508364544396,0.5
9,1500.0,0.0,0.0
10,1595.115083645444,95.11508364544396,0.5
11,1500.0,0.0,0.0
